fish_id,weight,spec,rounds,status,tail_cause,reflow_summary,had_timeout,had_overflow,dwell_time,reflow_reasons
414,395,25p,1,unmatched_tail,批末料道未配盒,无,0,0,86,
415,399,25p,1,unmatched_tail,批末料道未配盒,无,0,0,85,
417,308,30p,1,unmatched_tail,批末料道未配盒,无,0,0,83,
418,383,25p,1,unmatched_tail,批末料道未配盒,无,0,0,82,
419,285,35p,1,unmatched_tail,批末料道未配盒,无,0,0,81,
420,324,30p,1,unmatched_tail,批末料道未配盒,无,0,0,80,
421,266,35p,1,unmatched_tail,批末料道未配盒,无,0,0,79,
422,422,25p,1,unmatched_tail,批末料道未配盒,无,0,0,78,
423,500,20p,3,unmatched_tail,批末料道未配盒,超时回流,1,0,77,timeout|timeout
424,445,25p,1,unmatched_tail,批末料道未配盒,无,0,0,76,
426,293,35p,1,unmatched_tail,批末料道未配盒,无,0,0,74,
430,666,15p,3,unmatched_tail,批末料道未配盒,超时回流,1,0,70,timeout|timeout
431,441,25p,1,unmatched_tail,批末料道未配盒,无,0,0,69,
433,435,25p,1,unmatched_tail,批末料道未配盒,无,0,0,67,
434,330,30p,1,unmatched_tail,批末料道未配盒,无,0,0,66,
436,436,25p,1,unmatched_tail,批末料道未配盒,无,0,0,64,
437,351,30p,1,unmatched_tail,批末料道未配盒,无,0,0,63,
438,324,30p,1,unmatched_tail,批末料道未配盒,无,0,0,62,
439,355,30p,1,unmatched_tail,批末料道未配盒,无,0,0,61,
440,308,30p,1,unmatched_tail,批末料道未配盒,无,0,0,60,
441,314,30p,1,unmatched_tail,批末料道未配盒,无,0,0,59,
442,333,30p,1,unmatched_tail,批末料道未配盒,无,0,0,58,
444,403,25p,1,unmatched_tail,批末料道未配盒,无,0,0,56,
445,443,25p,1,unmatched_tail,批末料道未配盒,无,0,0,55,
446,238,40p,1,unmatched_tail,批末料道未配盒,无,0,0,54,
447,695,15p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,53,timeout
448,372,25p,1,unmatched_tail,批末料道未配盒,无,0,0,52,
449,245,40p,1,unmatched_tail,批末料道未配盒,无,0,0,51,
450,636,15p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,50,timeout
451,349,30p,1,unmatched_tail,批末料道未配盒,无,0,0,49,
452,262,40p,1,unmatched_tail,批末料道未配盒,无,0,0,48,
453,270,35p,1,unmatched_tail,批末料道未配盒,无,0,0,47,
454,245,40p,1,unmatched_tail,批末料道未配盒,无,0,0,46,
455,252,40p,1,unmatched_tail,批末料道未配盒,无,0,0,45,
456,264,40p,1,unmatched_tail,批末料道未配盒,无,0,0,44,
457,282,35p,1,unmatched_tail,批末料道未配盒,无,0,0,43,
458,403,25p,1,unmatched_tail,批末料道未配盒,无,0,0,42,
459,440,25p,1,unmatched_tail,批末料道未配盒,无,0,0,41,
461,284,35p,1,unmatched_tail,批末料道未配盒,无,0,0,39,
462,545,20p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,38,timeout
463,556,20p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,37,timeout
464,414,25p,1,unmatched_tail,批末料道未配盒,无,0,0,36,
465,286,35p,1,unmatched_tail,批末料道未配盒,无,0,0,35,
466,269,35p,1,unmatched_tail,批末料道未配盒,无,0,0,34,
467,665,15p,2,unmatched_tail,批末料道未配盒,超时回流,1,0,33,timeout
468,757,,1,unmatched_outside,规格外,无,0,0,32,
469,298,35p,1,unmatched_tail,批末料道未配盒,无,0,0,31,
470,236,40p,1,unmatched_tail,批末料道未配盒,无,0,0,30,
471,432,25p,1,unmatched_tail,批末料道未配盒,无,0,0,29,
472,256,40p,1,unmatched_tail,批末料道未配盒,无,0,0,28,
473,258,40p,1,unmatched_tail,批末料道未配盒,无,0,0,27,
474,382,25p,1,unmatched_tail,批末料道未配盒,无,0,0,26,
475,235,40p,1,unmatched_tail,批末料道未配盒,无,0,0,25,
476,557,20p,1,unmatched_tail,批末料道未配盒,无,0,0,24,
477,676,15p,1,unmatched_tail,批末料道未配盒,无,0,0,23,
478,541,20p,1,unmatched_tail,批末料道未配盒,无,0,0,22,
479,345,30p,1,unmatched_tail,批末料道未配盒,无,0,0,21,
480,526,20p,1,unmatched_tail,批末料道未配盒,无,0,0,20,
