fish_id,weight,spec,rounds,first_in_time,outbound_time,dwell_time,status,reflow_reasons
116,296,35p,3,116,676,560,packed,timeout|timeout
117,506,20p,14,117,539,422,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
118,159,60p,1,118,705,587,packed,
119,231,40p,2,119,256,137,packed,timeout
120,564,20p,14,120,539,419,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
121,130,80p,1,121,741,620,packed,
122,165,60p,1,122,705,583,packed,
123,73,140p,1,123,1056,933,packed,
124,523,20p,18,124,666,542,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
125,204,50p,1,125,489,364,packed,
126,663,15p,1,126,147,21,packed,
127,113,90p,1,127,702,575,packed,
128,302,35p,2,128,676,548,packed,timeout
129,108,90p,1,129,702,573,packed,
130,80,120p,1,130,1343,1213,packed,
131,199,50p,1,131,489,358,packed,
132,113,90p,1,132,702,570,packed,
133,75,130p,1,133,1188,1055,packed,
134,227,45p,1,134,604,470,packed,
135,135,70p,1,135,620,485,packed,
136,233,40p,2,136,256,120,packed,timeout
137,246,40p,1,137,256,119,packed,
138,502,20p,10,138,446,308,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
139,339,30p,4,139,284,145,packed,timeout|timeout|timeout
140,138,70p,1,140,620,480,packed,
141,409,25p,7,141,424,283,packed,timeout|timeout|timeout|timeout|timeout|timeout
142,87,110p,1,142,961,819,packed,
143,241,40p,1,143,256,113,packed,
144,105,100p,1,144,1045,901,packed,
145,327,30p,4,145,284,139,packed,timeout|timeout|timeout
146,585,15p,1,146,147,1,packed,
147,155,60p,1,147,705,558,packed,
148,131,80p,1,148,741,593,packed,
149,115,90p,1,149,702,553,packed,
150,636,15p,7,150,365,215,packed,timeout|timeout|timeout|timeout|timeout|timeout
151,145,70p,1,151,620,469,packed,
152,267,35p,6,152,1090,938,packed,timeout|timeout|timeout|timeout|timeout
153,72,140p,1,153,1056,903,packed,
154,108,90p,1,154,702,548,packed,
155,417,25p,7,155,424,269,packed,timeout|timeout|timeout|timeout|timeout|timeout
156,151,70p,1,156,620,464,packed,
157,209,50p,1,157,489,332,packed,
158,164,60p,1,158,705,547,packed,
159,86,120p,1,159,1343,1184,packed,
160,395,25p,13,160,614,454,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
161,674,15p,21,161,812,651,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
162,150,70p,1,162,620,458,packed,
163,70,140p,1,163,1056,893,packed,
164,100,100p,1,164,1045,881,packed,
165,115,90p,1,165,702,537,packed,
166,142,70p,1,166,620,454,packed,
167,265,40p,1,167,256,89,packed,
168,66,150p,1,168,1435,1267,packed,
169,130,80p,1,169,741,572,packed,
170,204,50p,1,170,489,319,packed,
171,643,15p,100,171,3567,3396,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
172,244,40p,1,172,256,84,packed,
173,173,60p,1,173,705,532,packed,
174,79,130p,1,174,1188,1014,packed,
175,247,40p,1,175,256,81,packed,
176,113,90p,1,176,702,526,packed,
177,214,45p,1,177,604,427,packed,
178,95,110p,1,178,961,783,packed,
179,691,15p,11,179,519,340,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
180,700,15p,6,180,365,185,packed,timeout|timeout|timeout|timeout|timeout
181,142,70p,1,181,620,439,packed,
182,234,40p,1,182,256,74,packed,
183,767,,1,183,,0,unmatched_outside,
184,215,45p,1,184,604,420,packed,
185,106,90p,1,185,702,517,packed,
186,78,130p,1,186,1188,1002,packed,
187,120,80p,1,187,741,554,packed,
188,408,25p,6,188,424,236,packed,timeout|timeout|timeout|timeout|timeout
189,144,70p,1,189,620,431,packed,
190,268,35p,4,190,831,641,packed,timeout|timeout|timeout
191,297,35p,1,191,676,485,packed,
192,91,110p,1,192,961,769,packed,
193,132,80p,1,193,741,548,packed,
194,87,110p,1,194,961,767,packed,
195,171,60p,1,195,705,510,packed,
196,272,35p,4,196,831,635,packed,timeout|timeout|timeout
197,72,140p,1,197,1056,859,packed,
198,106,90p,1,198,702,504,packed,
199,590,15p,6,199,365,166,packed,timeout|timeout|timeout|timeout|timeout
200,91,110p,1,200,961,761,packed,
201,152,70p,1,201,620,419,packed,
202,305,35p,1,202,676,474,packed,
203,69,140p,1,203,1056,853,packed,
204,300,35p,1,204,676,472,packed,
205,103,100p,1,205,1045,840,packed,
206,99,100p,1,206,1045,839,packed,
207,90,110p,1,207,961,754,packed,
208,83,120p,1,208,1343,1135,packed,
209,192,50p,1,209,489,280,packed,
210,70,140p,1,210,1056,846,packed,
211,271,35p,3,211,831,620,packed,timeout|timeout
212,364,30p,2,212,284,72,packed,timeout
213,218,45p,1,213,604,391,packed,
214,110,90p,1,214,702,488,packed,
215,130,80p,1,215,741,526,packed,
216,309,30p,2,216,284,68,packed,timeout
217,73,140p,1,217,1056,839,packed,
218,95,110p,1,218,961,743,packed,
219,100,100p,1,219,1045,826,packed,
220,126,80p,1,220,741,521,packed,
221,335,30p,2,221,284,63,packed,timeout
222,691,15p,32,222,1214,992,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
223,265,40p,1,223,256,33,packed,
224,276,35p,3,224,831,607,packed,timeout|timeout
225,265,40p,1,225,256,31,packed,
226,361,30p,2,226,284,58,packed,timeout
227,69,140p,1,227,1056,829,packed,
228,76,130p,1,228,1188,960,packed,
229,90,110p,1,229,961,732,packed,
230,229,45p,1,230,604,374,packed,
231,97,100p,1,231,1045,814,packed,
232,255,40p,1,232,256,24,packed,
233,178,60p,1,233,705,472,packed,
234,292,35p,1,234,676,442,packed,
235,225,45p,1,235,604,369,packed,
236,227,45p,1,236,604,368,packed,
237,111,90p,1,237,702,465,packed,
238,400,25p,4,238,424,186,packed,timeout|timeout|timeout
239,255,40p,1,239,256,17,packed,
240,239,40p,1,240,256,16,packed,
241,85,120p,1,241,1343,1102,packed,
242,410,25p,4,242,424,182,packed,timeout|timeout|timeout
243,95,110p,1,243,961,718,packed,
244,197,50p,1,244,489,245,packed,
245,100,100p,1,245,1045,800,packed,
246,208,50p,1,246,489,243,packed,
247,136,70p,1,247,620,373,packed,
248,637,15p,9,248,519,271,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
249,111,90p,1,249,702,453,packed,
250,93,110p,1,250,961,711,packed,
251,140,70p,1,251,620,369,packed,
252,408,25p,4,252,424,172,packed,timeout|timeout|timeout
253,505,20p,6,253,446,193,packed,timeout|timeout|timeout|timeout|timeout
254,230,45p,1,254,1131,877,packed,
255,246,40p,1,255,256,1,packed,
256,259,40p,1,256,256,0,packed,
257,87,110p,1,257,961,704,packed,
258,81,120p,1,258,1343,1085,packed,
259,74,130p,1,259,1188,929,packed,
260,496,20p,6,260,446,186,packed,timeout|timeout|timeout|timeout|timeout
261,213,45p,1,261,604,343,packed,
262,635,15p,24,262,1010,748,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout|timeout
263,142,70p,1,263,620,357,packed,
264,116,80p,1,264,741,477,packed,
265,284,35p,1,265,676,411,packed,
266,182,60p,1,266,705,439,packed,
267,76,130p,1,267,1188,921,packed,
268,608,15p,4,268,365,97,packed,timeout|timeout|timeout
269,85,120p,1,269,1343,1074,packed,
270,144,70p,1,270,620,350,packed,
271,77,130p,1,271,1188,917,packed,
272,143,70p,1,272,620,348,packed,
273,107,90p,1,273,702,429,packed,
274,267,35p,3,274,831,557,packed,timeout|timeout
275,671,15p,3,275,365,90,packed,timeout|timeout
276,80,120p,1,276,1343,1067,packed,
277,65,150p,1,277,1435,1158,packed,
278,98,100p,1,278,1045,767,packed,
279,255,40p,1,279,864,585,packed,
280,257,40p,1,280,864,584,packed,
281,192,50p,1,281,489,208,packed,
282,83,120p,1,282,1343,1061,packed,
283,273,35p,3,283,831,548,packed,timeout|timeout
284,327,30p,1,284,284,0,packed,
285,225,45p,1,285,1131,846,packed,
286,546,20p,8,286,539,253,packed,timeout|timeout|timeout|timeout|timeout|timeout|timeout
287,102,100p,1,287,1045,758,packed,
288,132,80p,1,288,741,453,packed,
289,170,60p,1,289,705,416,packed,
290,68,150p,1,290,1435,1145,packed,
291,55,,1,291,,0,unmatched_outside,
292,123,80p,1,292,741,449,packed,
293,186,50p,1,293,489,196,packed,
294,68,150p,1,294,1435,1141,packed,
295,68,150p,1,295,1435,1140,packed,
296,94,110p,1,296,961,665,packed,
297,779,,1,297,,0,unmatched_outside,
298,73,140p,1,298,1056,758,packed,
299,420,25p,2,299,424,125,packed,timeout
300,71,140p,1,300,1056,756,packed,
301,154,60p,1,301,705,404,packed,
302,89,110p,1,302,961,659,packed,
303,169,60p,1,303,705,402,packed,
304,116,80p,1,304,741,437,packed,
305,77,130p,1,305,1188,883,packed,
306,534,20p,5,306,446,140,packed,timeout|timeout|timeout|timeout
307,620,15p,2,307,365,58,packed,timeout
308,107,90p,1,308,702,394,packed,
